"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"155","Belarus","Urban Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3345660",""
"155","Belarus","Urban Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3332777",""
"155","Belarus","Urban Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3324087",""
"155","Belarus","Urban Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3319964",""
"155","Belarus","Urban Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3326708",""
"155","Belarus","Urban Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3313400",""
"155","Belarus","Urban Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3284800",""
"155","Belarus","Urban Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","3137071","2"
"212","Belize","Urban Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","71500","4"
"212","Belize","Urban Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","68600","4"
"212","Belize","Urban Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","66100","4"
"212","Belize","Urban Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","63370","4"
"212","Belize","Urban Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","57976",""
"212","Belize","Urban Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","61470","4"
"212","Belize","Urban Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","59750","4"
"212","Belize","Urban Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","63015","4"
"212","Belize","Urban Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","60625","4"
"212","Belize","Urban Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","59200","4"
"212","Belize","Urban Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","55625","4"
"212","Belize","Urban Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","54975","4"
"212","Belize","Urban Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","49479","4"
"212","Belize","Urban Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","47221","4"
"212","Belize","Urban Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","45625",""
"212","Belize","Urban Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","46257","4"
"212","Belize","Urban Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","44812","4"
"212","Belize","Urban Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","69500","4"
"212","Belize","Urban Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","67000","4"
"212","Belize","Urban Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","64400","4"
"212","Belize","Urban Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","62160","4"
"212","Belize","Urban Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","56565",""
"212","Belize","Urban Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","59985","4"
"212","Belize","Urban Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","58750","4"
"212","Belize","Urban Male","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","57095","4"
"212","Belize","Urban Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","55350","4"
"212","Belize","Urban Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","54440","4"
"212","Belize","Urban Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","54255","4"
"212","Belize","Urban Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","52000","4"
"212","Belize","Urban Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","47951","4"
"212","Belize","Urban Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","45467","4"
"212","Belize","Urban Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","44136",""
"212","Belize","Urban Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","44117","4"
"212","Belize","Urban Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","43216","4"
"18","Benin","Urban Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1349715","2"
"18","Benin","Urban Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1272062","4"
