"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"102","Iraq","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.76",""
"178","Italy","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"104","Jordan","Total 15+ yr","2005","UNESCO_UIS Database_Sep2007","Ratio","0.91",""
"104","Jordan","Total 15+ yr","2003","UNESCO_UIS Database_Sep2007","Ratio","0.89",""
"106","Kazakhstan","Total 15+ yr","1999","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"106","Kazakhstan","Total 15+ yr","1989","UNESCO_UIS Database_Sep2007","Ratio","0.97",""
"42","Kenya","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.90",""
"110","Kuwait","Total 15+ yr","2005","UNESCO_UIS Database_Sep2007","Ratio","0.96",""
"110","Kuwait","Total 15+ yr","1995","UNESCO_UIS Database_Sep2007","Ratio","0.91",""
"110","Kuwait","Total 15+ yr","1985","UNESCO_UIS Database_Sep2007","Ratio","0.88",""
"107","Kyrgyzstan","Total 15+ yr","1999","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"111","Lao PDR","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.79",""
"111","Lao PDR","Total 15+ yr","1995","UNESCO_UIS Database_Sep2007","Ratio","0.65",""
"182","Latvia","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"182","Latvia","Total 15+ yr","1989","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"180","Lithuania","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"180","Lithuania","Total 15+ yr","1989","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"114","Macau SAR","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.92",""
"185","Macedonia","Total 15+ yr","2002","UNESCO_UIS Database_Sep2007","Ratio","0.96",""
"185","Macedonia","Total 15+ yr","1994","UNESCO_UIS Database_Sep2007","Ratio","0.94",""
"47","Madagascar","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.85",""
"54","Malawi","Total 15+ yr","1998","UNESCO_UIS Database_Sep2007","Ratio","0.72",""
"54","Malawi","Total 15+ yr","1987","UNESCO_UIS Database_Sep2007","Ratio","0.51",""
"118","Malaysia","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.93",""
"118","Malaysia","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","0.87",""
"115","Maldives","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"115","Maldives","Total 15+ yr","1995","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"115","Maldives","Total 15+ yr","1990","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"115","Maldives","Total 15+ yr","1985","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"48","Mali","Total 15+ yr","1998","UNESCO_UIS Database_Sep2007","Ratio","0.44",""
"186","Malta","Total 15+ yr","1995","UNESCO_UIS Database_Sep2007","Ratio","1.03",""
"50","Mauritania","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.73",""
"51","Mauritius","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.91",""
"51","Mauritius","Total 15+ yr","1990","UNESCO_UIS Database_Sep2007","Ratio","0.88",""
"235","Mexico","Total 15+ yr","2005","UNESCO_UIS Database_Sep2007","Ratio","0.97",""
"235","Mexico","Total 15+ yr","2004","UNESCO_UIS Database_Sep2007","Ratio","0.97",""
"235","Mexico","Total 15+ yr","2002","UNESCO_UIS Database_Sep2007","Ratio","0.96",""
"235","Mexico","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.96",""
"235","Mexico","Total 15+ yr","1990","UNESCO_UIS Database_Sep2007","Ratio","0.94",""
"117","Mongolia","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"46","Morocco","Total 15+ yr","2004","UNESCO_UIS Database_Sep2007","Ratio","0.60",""
"46","Morocco","Total 15+ yr","1994","UNESCO_UIS Database_Sep2007","Ratio","0.52",""
"49","Mozambique","Total 15+ yr","1997","UNESCO_UIS Database_Sep2007","Ratio","0.46",""
"116","Myanmar","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.92",""
"56","Namibia","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.96",""
"56","Namibia","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","0.95",""
"122","Nepal","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.56",""
"122","Nepal","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","0.35",""
"208","Netherlands Antilles","Total 15+ yr","1992","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"238","Nicaragua","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"57","Niger","Total 15+ yr","2005","UNESCO_UIS Database_Sep2007","Ratio","0.35",""
"58","Nigeria","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","0.65",""
"123","Oman","Total 15+ yr","2003","UNESCO_UIS Database_Sep2007","Ratio","0.85",""
"124","Pakistan","Total 15+ yr","2005","UNESCO_UIS Database_Sep2007","Ratio","0.55",""
"124","Pakistan","Total 15+ yr","1998","UNESCO_UIS Database_Sep2007","Ratio","0.53",""
"127","Palestinian Territory, Occupied","Total 15+ yr","2004","UNESCO_UIS Database_Sep2007","Ratio","0.91",""
"127","Palestinian Territory, Occupied","Total 15+ yr","1997","UNESCO_UIS Database_Sep2007","Ratio","0.86",""
"239","Panama","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"239","Panama","Total 15+ yr","1990","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"281","Papua New Guinea","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.80",""
"242","Paraguay","Total 15+ yr","1992","UNESCO_UIS Database_Sep2007","Ratio","0.96",""
"240","Peru","Total 15+ yr","2005","UNESCO_UIS Database_Sep2007","Ratio","0.88",""
"240","Peru","Total 15+ yr","2004","UNESCO_UIS Database_Sep2007","Ratio","0.88",""
"240","Peru","Total 15+ yr","1993","UNESCO_UIS Database_Sep2007","Ratio","0.88",""
"125","Philippines","Total 15+ yr","2003","UNESCO_UIS Database_Sep2007","Ratio","1.02",""
"125","Philippines","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"125","Philippines","Total 15+ yr","1990","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"191","Portugal","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","0.92",""
"128","Qatar","Total 15+ yr","2004","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
