"Country or Area Code","Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"156","Switzerland","Rural Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","927058","2"
"156","Switzerland","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","913188","2"
"156","Switzerland","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1078972","2"
"156","Switzerland","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","885415","2"
"156","Switzerland","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","870743","2"
"156","Switzerland","Rural Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","858718","2"
"156","Switzerland","Rural Male","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","849400","2"
"156","Switzerland","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","841884","2"
"156","Switzerland","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","835229","2"
"131","Syria","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4411000","4"
"131","Syria","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4306000","4"
"131","Syria","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4207000","4"
"131","Syria","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","3408935","74"
"131","Syria","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3363000","75"
"131","Syria","Rural Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3283000","75"
"131","Syria","Rural Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3152000","75"
"131","Syria","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3068000","75"
"131","Syria","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2986000","75"
"131","Syria","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2903000","75"
"131","Syria","Rural Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2805000","75"
"131","Syria","Rural Female","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2743000","75"
"131","Syria","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2676000","75"
"131","Syria","Rural Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2612000","75"
"131","Syria","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4547000","4"
"131","Syria","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4438000","4"
"131","Syria","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4324000","4"
"131","Syria","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","3508855","74"
"131","Syria","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3369000","75"
"131","Syria","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3295000","75"
"131","Syria","Rural Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3212000","75"
"131","Syria","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3126000","75"
"131","Syria","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3043000","75"
"131","Syria","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2961000","75"
"131","Syria","Rural Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2861000","75"
"131","Syria","Rural Male","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2798000","75"
"131","Syria","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2728000","75"
"131","Syria","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2664000","75"
"133","Tajikistan","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2407065",""
"133","Tajikistan","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2358009",""
"133","Tajikistan","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2309113",""
"133","Tajikistan","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2263344",""
"133","Tajikistan","Rural Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2217646",""
"133","Tajikistan","Rural Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1996600",""
"133","Tajikistan","Rural Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1946100",""
"133","Tajikistan","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1888700",""
"133","Tajikistan","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1813200",""
"133","Tajikistan","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1720239","2"
"133","Tajikistan","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2427321",""
"133","Tajikistan","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2377760",""
"133","Tajikistan","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2328433",""
"133","Tajikistan","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2282622",""
"133","Tajikistan","Rural Male","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2236679",""
"133","Tajikistan","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1997800",""
