pays,score_2015,score_2016,score_2017,score_2018,score_2019,score_2020,country_official
Namibie,,"4,574","4,574","4,441","4,639","4,571",Republic of Namibia
Ukraine,"4,681","4,324","4,096","4,103","4,332","4,561",Ukraine
Liberia,"4,571","3,622","3,533","3,495","3,975","4,558",Republic of Liberia
Palestine,"4,715","4,754","4,775","4,743","4,696","4,553",State of Palestine
Ouganda,"3,931","3,739","4,081","4,161","4,189","4,432",Republic of Uganda
Tchad,"3,667","3,763","3,936","4,301","4,350","4,423",Republic of Chad
Tunisie,"4,739","5,045","4,805","4,592","4,461","4,392",Republic of Tunisia
Mauritanie,"4,436","4,201","4,292","4,356","4,490","4,375",Islamic Republic of Mauritania
Djibouti,"4,369",,,,,,Republic of Djibouti
Sri Lanka,"4,271","4,415","4,440","4,471","4,366","4,327",Democratic Socialist Republic of Sri Lanka
Congo (RDC),"4,517","4,236","4,280","4,245","4,418","4,311",Democratic Republic Of The Congo
Eswatini,"4,867",,,,"4,212","4,308",Kingdom of Eswatini
Myanmar (Birmanie),"4,307","4,395","4,545","4,308","4,360","4,308",Republic of Myanmar
Comores,"3,956","3,956",,,"3,973","4,289",Union of the Comoros
Togo,"2,839","3,303","3,495","3,999","4,085","4,187",Togolese Republic
Éthiopie,"4,512","4,508","4,460","4,350","4,286","4,186",Federal Democratic Republic of Ethiopia
Madagascar,"3,681","3,695","3,644","3,774","3,933","4,166",Republic of Madagascar
Égypte,"4,194","4,362","4,735","4,419","4,166","4,151",Arab Republic of Egypt
Soudan,"4,550","4,139","4,139","4,139",,,Republic of the Sudan
Sierra Leone,"4,507","4,635","4,709","4,571","4,374","3,926",Republic of Sierra Leone
Angola,"4,033","3,866","3,795","3,795",,,Republic of Angola
Burundi,"2,906","2,905","2,905","2,905","3,775","3,775",Republic of Burundi
Zambie,"5,129","4,795","4,514","4,377","4,107","3,759",Republic of Zambia
Haïti,"4,518","4,028","3,603","3,582","3,597","3,721",Republic of Haiti
Lesotho,"4,898",,"3,808","3,808","3,802","3,653",Kingdom of Lesotho
Inde,"4,565","4,404","4,315","4,190","4,015","3,573",Republic of India
Malawi,"4,292","4,156","3,970","3,587","3,410","3,538",Republic of Malawi
Yémen,"4,077","3,724","3,593","3,355","3,380","3,527",Republic of Yemen
Botswana,"4,332","3,974","3,766","3,590","3,488","3,479",Republic of Botswana
Tanzanie,"3,781","3,666","3,349","3,303","3,231","3,476",Tanzania
Centrafrique,"3,678",,"2,693","3,083","3,083","3,476",Central African Republic
Syrie,"3,006","3,069","3,462","3,462","3,462",,Syria
Rwanda,"3,465","3,515","3,471","3,408","3,334","3,312",Rwandese Republic
Zimbabwe,"4,610","4,193","3,875","3,692","3,663","3,299",Republic of Zimbabwe
Soudan du Sud,,"3,832","3,591","3,254","2,853","2,817",Republic of South Sudan
Afghanistan,"3,575","3,360","3,794","3,632","3,203","2,567",Islamic Republic of Afghanistan
